College_names,Year,applicants_total,applicants_men,applicants_women,admissions_total,admissions_men ,admissions_women,% applicants change,% admissions_change
Arizona State University-Tempe,2002,18155,8423,9732,15385,6979,8406,,
Arizona State University-Tempe,2003,19785,9192,10593,17490,7949,9541,0.08978242908289724,0.13682157946051343
Arizona State University-Tempe,2004,20789,9639,11150,17899,8129,9770,0.05074551427849383,0.023384791309319697
Arizona State University-Tempe,2005,19914,9398,10516,18126,8394,9732,-0.042089566597719896,0.012682272752667645
Arizona State University-Tempe,2006,20702,10093,10609,19133,9169,9964,0.03957015165210409,0.05555555555555558
Arizona State University-Tempe,2007,20702,10093,10609,19133,9169,9964,0.0,0.0
Arizona State University-Tempe,2008,24922,11953,12969,23504,11081,12423,0.20384503912665441,0.22845345737730627
Arizona State University-Tempe,2009,27089,12955,14134,24473,11530,12943,0.08695128801861807,0.041227025187202226
Arizona State University-Tempe,2010,28304,13807,14497,25616,12235,13381,0.044852154010853074,0.04670453152453735
Arizona State University-Tempe,2011,29771,14512,15259,25795,12339,13456,0.0518301300169588,0.006987820112429821
Arizona State University-Tempe,2012,29722,14661,15061,26425,12755,13670,-0.0016458970138725215,0.024423337856173788
Arizona State University-Tempe,2013,21770,11822,9948,17465,9292,8173,-0.2675459255770136,-0.3390728476821192
Arizona State University-Tempe,2014,22581,12092,10489,19042,10124,8918,0.037253100597152145,0.0902948754652162
Arizona State University-Tempe,2015,25380,13898,11482,21042,11341,9701,0.12395376644081302,0.10503098414032142
Arizona State University-Tempe,2016,24764,13514,11250,20431,10961,9470,-0.02427107959022856,-0.02903716376770271
Arizona State University-Tempe,2017,24127,12627,11500,20302,10495,9807,-0.025722823453400046,-0.006313934707062763
Arizona State University-Tempe,2018,26869,14256,12613,22779,11826,10953,0.1136486094417044,0.12200768397202255
Oregon State University,2002,6645,3276,3369,3402,1689,1713,,
Oregon State University,2003,5811,2927,2884,4379,2356,2023,-0.12550790067720086,0.2871840094062317
Oregon State University,2004,7410,3722,3688,6529,3209,3320,0.27516778523489926,0.4909796757250513
Oregon State University,2005,6917,3470,3447,6224,3046,3178,-0.0665317139001349,-0.046714657681115046
Oregon State University,2006,6552,3257,3295,6078,2971,3107,-0.05276854127511932,-0.023457583547557892
Oregon State University,2007,9077,4625,4452,8387,4208,4179,0.38537851037851034,0.3798947022046726
Oregon State University,2008,8149,4159,3990,6971,3452,3519,-0.10223642172523961,-0.16883271730058425
Oregon State University,2009,8640,4412,4228,7270,3679,3591,0.06025279175358933,0.04289198106440972
Oregon State University,2010,10068,5185,4883,8303,4122,4181,0.16527777777777786,0.14209078404401643
Oregon State University,2011,11428,6010,5418,9269,4688,4581,0.13508144616607076,0.11634349030470914
Oregon State University,2012,12197,6400,5797,9471,4766,4705,0.06729086454322708,0.021793073686481756
Oregon State University,2013,12414,6445,5969,9799,4875,4924,0.01779126014593757,0.03463203463203457
Oregon State University,2014,14116,7203,6913,10976,5328,5648,0.13710327050104731,0.1201142973772833
Oregon State University,2015,14058,6991,7067,11016,5266,5750,-0.0041088126948144454,0.0036443148688045657
Oregon State University,2016,14595,7074,7521,11308,5233,6075,0.038198890311566425,0.026506899055918742
Oregon State University,2017,14888,7227,7661,11738,5502,6236,0.020075368276807115,0.038026176158471925
Oregon State University,2018,14890,7212,7678,12006,5642,6364,0.00013433637829129985,0.02283182825012786
Stanford University,2002,18599,9520,9079,2368,1196,1172,,
Stanford University,2003,18628,9549,9079,2343,1198,1145,0.0015592236141728222,-0.010557432432432456
Stanford University,2004,19172,9831,9341,2486,1304,1182,0.02920334979600603,0.06103286384976525
Stanford University,2005,20195,10236,9959,2426,1249,1177,0.0533590653035676,-0.024135156878519748
Stanford University,2006,22333,11107,11226,2444,1211,1233,0.10586778905669725,0.007419620774938185
Stanford University,2007,23958,12058,11900,2464,1225,1239,0.0727622800340304,0.008183306055646433
Stanford University,2008,25299,12994,12305,2400,1248,1152,0.05597295266716751,-0.025974025974025983
Stanford University,2009,30429,15413,15016,2426,1260,1166,0.2027748132337246,0.01083333333333325
Stanford University,2010,32022,16527,15495,2340,1233,1107,0.05235137533274181,-0.03544929925803797
Stanford University,2011,34348,17817,16531,2437,1278,1159,0.0726375616763475,0.04145299145299153
Stanford University,2012,36632,19192,17440,2423,1306,1117,0.06649586584371714,-0.0057447681575707454
Stanford University,2013,38828,20464,18364,2208,1147,1061,0.059947586809347087,-0.08873297565002058
Stanford University,2014,42167,22536,19631,2145,1083,1062,0.08599464304110427,-0.028532608695652217
Stanford University,2015,42497,22831,19666,2140,1073,1067,0.007826025090710731,-0.002331002331002363
Stanford University,2016,43997,23005,20992,2118,1031,1087,0.03529660917241206,-0.010280373831775713
Stanford University,2017,44073,23254,20819,2085,1019,1066,0.0017273905038979187,-0.015580736543909346
Stanford University,2018,47452,24692,22760,2071,1048,1023,0.07666825494066654,-0.006714628297362135
University of Arizona,2002,19832,9199,10633,16973,7654,9319,,
University of Arizona,2003,21185,9663,11522,18021,7980,10041,0.06822307382008885,0.061745124609674296
University of Arizona,2004,23725,11029,12696,19788,8966,10822,0.11989615293839972,0.09805227234892633
University of Arizona,2005,17904,8386,9518,15701,7155,8546,-0.24535300316122233,-0.20653931675763093
University of Arizona,2006,16609,7982,8606,14293,6670,7614,-0.07233020554066127,-0.08967581682695369
University of Arizona,2007,25449,12163,13185,19703,9083,10543,0.5322415557830091,0.3785069614496608
University of Arizona,2008,22544,10783,11761,18158,8366,9792,-0.11414986836417929,-0.07841445465157593
University of Arizona,2009,24756,11800,12956,19310,8948,10362,0.09811923349893537,0.06344311047472195
University of Arizona,2010,26629,12790,13839,20068,9371,10697,0.07565842624010344,0.03925427239772139
University of Arizona,2011,26629,12790,13839,20068,9371,10697,0.0,0.0
University of Arizona,2012,26854,12603,14251,19172,8880,10292,0.008449434826692803,-0.0446481961331473
University of Arizona,2013,26329,12386,13943,20251,9284,10967,-0.019550160125121008,0.05627999165449604
University of Arizona,2014,32723,15133,17590,24417,11133,13284,0.2428500892551939,0.2057182361364871
University of Arizona,2015,35408,16907,18501,27061,12632,14429,0.08205237906059959,0.10828521112339762
University of Arizona,2016,36166,16474,19692,28433,12759,15674,0.021407591504744694,0.050700269760910466
