College_names,Year,applicants_total,applicants_men,applicants_women,admissions_total,admissions_men ,admissions_women
Arizona State University-Tempe,2018,26869,14256,12613,22779,11826,10953
Oregon State University,2018,14890,7212,7678,12006,5642,6364
Stanford University,2018,47452,24692,22760,2071,1048,1023
University of Arizona,2018,39941,17715,22223,33717,14786,18928
University of California-Berkeley,2018,89607,43552,46055,13301,5585,7716
University of California-Los Angeles,2018,113754,52198,61556,15970,6930,9040
University of Colorado Boulder,2018,36604,18663,17941,29848,14903,14945
University of Oregon,2018,24474,10496,13978,20404,8364,12040
University of Southern California,2018,64352,30032,34320,8339,4029,4310
University of Utah,2018,23096,11082,12014,15441,7409,8032
University of Washington-Seattle Campus,2018,45907,20884,25023,22350,9682,12668
Washington State University,2018,22773,9411,13362,17579,7116,10463
Arizona State University-Tempe,2017,24127,12627,11500,20302,10495,9807
Oregon State University,2017,14888,7227,7661,11738,5502,6236
Stanford University,2017,44073,23254,20819,2085,1019,1066
University of Arizona,2017,33608,14743,18865,28089,12082,16007
University of California-Berkeley,2017,85044,41597,43447,14549,6324,8225
University of California-Los Angeles,2017,102225,46940,55285,16456,7138,9318
University of Colorado Boulder,2017,36148,18854,17294,28861,14566,14295
University of Oregon,2017,20317,8820,11497,16824,7024,9800
University of Southern California,2017,56676,26512,30164,9042,4399,4643
University of Utah,2017,22400,10992,11408,14818,7191,7627
University of Washington-Seattle Campus,2017,44877,20459,24418,20833,9078,11755
Washington State University,2017,22565,9416,13149,16487,6766,9721
Arizona State University-Tempe,2016,24764,13514,11250,20431,10961,9470
Oregon State University,2016,14595,7074,7521,11308,5233,6075
Stanford University,2016,43997,23005,20992,2118,1031,1087
University of Arizona,2016,36166,16474,19692,28433,12759,15674
University of California-Berkeley,2016,82561,41046,41515,13975,6209,7766
University of California-Los Angeles,2016,97112,45362,51750,17473,7513,9960
University of Colorado Boulder,2016,34047,18017,16030,26087,13353,12734
University of Oregon,2016,21821,9665,12156,16992,6990,10002
University of Southern California,2016,54280,25346,28934,9022,3981,5041
University of Utah,2016,14308,7093,7215,10934,5238,5696
University of Washington-Seattle Campus,2016,43517,19711,23806,19733,8561,11172
Washington State University,2016,23223,9716,13507,16731,6736,9995
Arizona State University-Tempe,2015,25380,13898,11482,21042,11341,9701
Oregon State University,2015,14058,6991,7067,11016,5266,5750
Stanford University,2015,42497,22831,19666,2140,1073,1067
University of Arizona,2015,35408,16907,18501,27061,12632,14429
University of California-Berkeley,2015,78893,39443,39450,13320,6082,7238
University of California-Los Angeles,2015,92690,43336,49354,16016,7140,8876
University of Colorado Boulder,2015,31325,16619,14706,24941,12746,12195
University of Oregon,2015,22000,9970,12030,16328,6771,9557
University of Southern California,2015,51924,24274,27650,9181,4095,5086
University of Utah,2015,12174,6040,6134,9913,4776,5137
University of Washington-Seattle Campus,2015,36840,17062,19778,19646,8696,10950
Washington State University,2015,19766,8594,11172,15742,6658,9084
Arizona State University-Tempe,2014,22581,12092,10489,19042,10124,8918
Oregon State University,2014,14116,7203,6913,10976,5328,5648
Stanford University,2014,42167,22536,19631,2145,1083,1062
University of Arizona,2014,32723,15133,17590,24417,11133,13284
University of California-Berkeley,2014,73782,37051,36731,11820,5412,6408
University of California-Los Angeles,2014,86537,40677,45860,16059,7148,8911
University of Colorado Boulder,2014,28852,15657,13195,24282,12861,11421
University of Oregon,2014,21359,9909,11450,15997,6862,9135
University of Southern California,2014,51920,24711,27209,9358,4284,5074
University of Utah,2014,10991,5504,5487,8949,4296,4653
University of Washington-Seattle Campus,2014,31611,14851,16760,17451,7994,9457
Washington State University,2014,14887,6760,8127,12219,5403,6816
Arizona State University-Tempe,2013,21770,11822,9948,17465,9292,8173
Oregon State University,2013,12414,6445,5969,9799,4875,4924
Stanford University,2013,38828,20464,18364,2208,1147,1061
University of Arizona,2013,26329,12386,13943,20251,9284,10967
University of California-Berkeley,2013,61717,30715,31002,11108,5233,5875
University of California-Los Angeles,2013,72676,33663,39013,15981,7177,8804
University of Colorado Boulder,2013,22473,11995,10478,19710,10302,9408
University of Oregon,2013,21263,10015,11248,15770,6884,8886
University of Southern California,2013,47358,22324,25034,9395,4416,4979
University of Utah,2013,11354,5638,5716,9281,4351,4930
University of Washington-Seattle Campus,2013,30199,14047,16152,16679,7484,9195
Washington State University,2013,14887,6760,8127,12219,5403,6816
Arizona State University-Tempe,2012,29722,14661,15061,26425,12755,13670
Oregon State University,2012,12197,6400,5797,9471,4766,4705
Stanford University,2012,36632,19192,17440,2423,1306,1117
University of Arizona,2012,26854,12603,14251,19172,8880,10292
University of California-Berkeley,2012,52982,25843,27139,11450,5335,6115
University of California-Los Angeles,2012,61556,28296,33260,16689,7303,8386
University of Colorado Boulder,2012,21744,11465,10279,18172,9272,8900
University of Oregon,2012,23012,10826,12186,16790,7279,9511
University of Southern California,2012,46104,21712,24392,9187,4416,4771
University of Utah,2012,11118,5743,5375,9187,4582,4605
