Year,College_names,College_state,In_state_tuition,Out_of_state_tuition,Admissions_rate_overall,Enrollment,Student Size
2002,"""Washington State University""","""WA""",4520,12270,0.7708,5100,4406
2003,"""Washington State University""","""WA""",5280,13382,0.7798,6037,4590
2004,"""Washington State University""","""WA""",5628,14046,0.7529,5368,4728
2005,"""Washington State University""","""WA""",5980,14985,0.7389,22177,19078
2006,"""Washington State University""","""WA""",6448,16088,0.7706,22444,18995
2007,"""Washington State University""","""WA""",6866,17180,0.7592,22412,19822
2008,"""Washington State University""","""WA""",7564,18600,0.7221,23223,20690
2009,"""Washington State University""","""WA""",8489,19565,0.7626,24080,21312
2010,"""Washington State University""","""WA""",9489,20531,0.6953,24742,21354
2011,"""Washington State University""","""WA""",10799,22077,0.8354,24659,22421
2012,"""Washington State University""","""WA""",12300,25382,0.7601,25588,22814
2013,"""Washington State University""","""WA""",12327,25409,0.8208,25835,22825
2014,"""Washington State University""","""WA""",12428,25510,0.8208,25967,23585
2015,"""Washington State University""","""WA""",11967,25567,0.7964,26752,24100
2016,"""Washington State University""","""WA""",11041,25673,0.7204,27313,24362
2017,"""Washington State University""","""WA""",11391,25817,0.7306,27917,24797
2018,"""Washington State University""","""WA""",11584,25820,0.7719,28198,25675
2002,"""University of Arizona""","""AZ""",2593,11113,0.8558,31123,27539
2003,"""University of Arizona""","""AZ""",3603,12373,0.8506,31553,27764
2004,"""University of Arizona""","""AZ""",4098,13078,0.8341,40641,27853
2005,"""University of Arizona""","""AZ""",4498,13682,0.877,29915,28023
2006,"""University of Arizona""","""AZ""",4766,14972,0.8606,35281,28010
2007,"""University of Arizona""","""AZ""",5048,16282,0.7742,29790,28674
2008,"""University of Arizona""","""AZ""",5542,18676,0.8054,31702,29354
2009,"""University of Arizona""","""AZ""",6855,22264,0.78,32322,30036
2010,"""University of Arizona""","""AZ""",8237,24597,0.7536,32902,30343
2011,"""University of Arizona""","""AZ""",10035,25494,0.7536,33005,30445
2012,"""University of Arizona""","""AZ""",10035,26231,0.7139,33190,31217
2013,"""University of Arizona""","""AZ""",10391,27383,0.7692,34144,31399
2014,"""University of Arizona""","""AZ""",10957,29421,0.7462,34579,32646
2015,"""University of Arizona""","""AZ""",11403,32630,0.7643,35401,32964
2016,"""University of Arizona""","""AZ""",11769,34967,0.7862,36246,33402
2017,"""University of Arizona""","""AZ""",11877,35307,0.8358,36862,33428
2018,"""University of Arizona""","""AZ""",12467,36366,0.8442,37278,33509
2002,"""Arizona State University-Tempe""","""AZ""",2585,11105,0.8474,40807,35573
2003,"""Arizona State University-Tempe""","""AZ""",3595,12115,0.884,42330,37336
2004,"""Arizona State University-Tempe""","""AZ""",4064,12919,0.861,43920,38117
2005,"""Arizona State University-Tempe""","""AZ""",4406,15095,0.9102,45120,39649
2006,"""Arizona State University-Tempe""","""AZ""",4688,15847,0.9242,47631,38984
2007,"""Arizona State University-Tempe""","""AZ""",4971,17003,0.9242,47502,38597
2008,"""Arizona State University-Tempe""","""AZ""",5661,17949,0.8206,56908,52883
2009,"""Arizona State University-Tempe""","""AZ""",6844,19629,0.9034,59211,53902
2010,"""Arizona State University-Tempe""","""AZ""",8132,20596,0.905,60204,56232
2011,"""Arizona State University-Tempe""","""AZ""",9720,22319,0.8664,63101,58184
2012,"""Arizona State University-Tempe""","""AZ""",9724,22977,0.8891,65501,59183
2013,"""Arizona State University-Tempe""","""AZ""",9861,23654,0.8023,42361,38480
2014,"""Arizona State University-Tempe""","""AZ""",10157,24503,0.8433,42427,39316
2015,"""Arizona State University-Tempe""","""AZ""",10158,25458,0.8291,44136,41222
2016,"""Arizona State University-Tempe""","""AZ""",10370,26470,0.825,45594,42224
2017,"""Arizona State University-Tempe""","""AZ""",10792,27372,0.8415,46038,42181
2018,"""Arizona State University-Tempe""","""AZ""",10822,28336,0.8478,45657,42529
2002,"""University of California-Berkeley""","""CA""",4201,16580,0.2469,25267,23834
2003,"""University of California-Berkeley""","""CA""",5858,20068,0.2389,26999,23205
2004,"""University of California-Berkeley""","""CA""",6730,23686,0.2387,26204,22880
2005,"""University of California-Berkeley""","""CA""",6512,23961,0.2465,25955,23447
2006,"""University of California-Berkeley""","""CA""",6654,25338,0.2652,26230,23863
2007,"""University of California-Berkeley""","""CA""",7165,26785,0.2376,26597,24636
2008,"""University of California-Berkeley""","""CA""",7656,28264,0.2322,27355,25151
2009,"""University of California-Berkeley""","""CA""",8998,31715,0.2146,27760,25529
2010,"""University of California-Berkeley""","""CA""",10940,33819,0.2162,28257,25540
2011,"""University of California-Berkeley""","""CA""",12834,35712,0.2143,28437,25885
2012,"""University of California-Berkeley""","""CA""",12874,35752,0.2161,28774,25774
2013,"""University of California-Berkeley""","""CA""",12864,35742,0.18,28662,25951
2014,"""University of California-Berkeley""","""CA""",12972,35850,0.1602,28919,27126
2015,"""University of California-Berkeley""","""CA""",13431,38139,0.1688,29326,27496
2016,"""University of California-Berkeley""","""CA""",13509,40191,0.1693,29591,29309
2017,"""University of California-Berkeley""","""CA""",14170,42184,0.1711,31133,30574
2018,"""University of California-Berkeley""","""CA""",14184,43176,0.1484,32309,30845
2002,"""University of California-Los Angeles""","""CA""",4225,16604,0.2689,26727,24899
2003,"""University of California-Los Angeles""","""CA""",5820,20030,0.2407,27731,25715
2004,"""University of California-Los Angeles""","""CA""",6586,23542,0.2351,27928,24946
2005,"""University of California-Los Angeles""","""CA""",6504,24324,0.2299,27428,24811
2006,"""University of California-Los Angeles""","""CA""",6522,25206,0.2691,27218,25431
2007,"""University of California-Los Angeles""","""CA""",7165,26658,0.2576,27784,25928
2008,"""University of California-Los Angeles""","""CA""",7551,27572,0.2357,28399,26536
2009,"""University of California-Los Angeles""","""CA""",8911,31628,0.2284,28905,26687
2010,"""University of California-Los Angeles""","""CA""",10781,33660,0.2187,29055,26162
2011,"""University of California-Los Angeles""","""CA""",12686,35564,0.2554,28379,27199
2012,"""University of California-Los Angeles""","""CA""",12692,35570,0.2711,29421,27941
2013,"""University of California-Los Angeles""","""CA""",12697,35575,0.2199,30180,28667
2014,"""University of California-Los Angeles""","""CA""",12705,35583,0.1856,30815,29627
2015,"""University of California-Los Angeles""","""CA""",12763,37471,0.1728,31797,29581
